,title,rank_in_sale,suggested_price(€)
376,Dead by Daylight: Ultimate Edition PS4™ & PS5™,377,67.8483
377,Tails of Iron,378,23.388299999999997
378,Lost Judgment Season Pass,379,33.918299999999995
379,BLUE REFLECTION: Second Light Ultimate Edition,380,111.13829999999999
380,DiRT 4,381,21.048299999999998
381,Airport Simulator: Day & Night,382,29.238299999999995
382,Conan Exiles - People of the Dragon Pack,383,9.3483
383,Fishing Planet: Amazon Carnival Pack,384,36.2583
384,Blasphemous,385,23.388299999999997
385,GreedFall - Standard Edition,386,35.0883
386,FIA European Truck Racing Championship,387,29.238299999999995
387,Portal Knights,388,18.708299999999998
388,13 Sentinels: Aegis Rim,389,58.488299999999995
389,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,390,15.1983
390,RESIDENT EVIL 7 biohazard Gold Edition,391,40.9383
391,Nioh,392,18.708299999999998
392,LEGO® Star Wars™: The Mandalorian Season 1 Character Pack,393,2.9133
393,Under the Jolly Roger - Complete Edition,394,28.068299999999997
394,Autonauts PS4 & PS5,395,18.708299999999998
395,LEGO® Star Wars™: The Mandalorian Season 2 Character Pack,396,2.9133
396,Final Vendetta,397,23.388299999999997
397,Brothers: a Tale of two Sons,398,17.5383
398,Back 4 Blood - Expansion 1: Tunnels of Terror,399,14.0283
399,Far Cry 4 Season pass,400,28.068299999999997
400,Train Sim World® 2: Rush Hour - London Commuter,401,29.238299999999995
401,FINAL FANTASY XIV Online - Complete Collector’s Edition,402,102.94829999999999
402,Vampyr,403,40.9383
403,SnowRunner - Season 7: Compete & Conquer,404,6.774299999999999
404,Power Rangers: Battle For The Grid,405,18.708299999999998
405,My Time at Portia,406,29.238299999999995
406,I Expect You To Die,407,23.388299999999997
407,Firefighters – The Simulation,408,29.238299999999995
408,Train Sim World® 2: Hauptstrecke Rhein-Ruhr,409,29.238299999999995
409,Train Sim World® 2: Hauptstrecke Rhein-Ruhr,410,
410,Bloodstained: Ritual of the Night,411,40.9383
411,Borderlands 2 VR,412,46.7883
412,The Forgotten City,413,29.238299999999995
413,DOOM Slayers Collection,414,29.238299999999995
414,"Warhammer 40,000: Inquisitor - Martyr | Imperium edition",415,56.1483
415,Hatsune Miku: Project DIVA Future Tone Bundle,416,38.5983
416,UNO® Ultimate Edition,417,18.708299999999998
417,Tetris® Effect: Connected,418,40.9383
418,Paladins Gold Edition,419,29.238299999999995
419,The Surge 2 - Premium Edition,420,40.9383
420,Farm Manager 2022,421,14.0283
421,Taiko no Tatsujin: Drum Session!,422,58.488299999999995
422,Just Dance® 2022 Ultimate Edition PS4,423,81.88829999999999
423,Just Dance® 2022 Ultimate Edition PS5,424,81.88829999999999
424,BLUE REFLECTION: Second Light,425,58.488299999999995
425,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,426,18.708299999999998
426,Atelier Ryza: Ever Darkness & the Secret Hideout,427,58.488299999999995
427,FINAL FANTASY CRYSTAL CHRONICLES Remastered Edition,428,29.238299999999995
428,Mutant Year Zero: Road to Eden - Deluxe Edition ,429,43.2783
429,Who Wants to Be a Millionaire? – New Edition,430,40.9383
430,Oddworld: Stranger's Wrath HD,431,18.708299999999998
431,Metro Exodus - Sam's Story,432,9.3483
432,Remnant: From the Ashes – Complete Edition,433,46.7883
433,Curse of the Dead Gods,434,18.708299999999998
434,OlliOlli World - Rad Edition (PS4/PS5),435,42.1083
435,Monster Energy Supercross 5 - Special Edition PS4 & PS5,436,87.7383
436,BLUE REFLECTION,437,58.488299999999995
437,Atelier Ryza: Digital Deluxe Edition,438,70.1883
438,Dragon Age™: Inquisition DLC Bundle,439,29.238299999999995
439,PJ Masks: Heroes of the Night,440,40.9383
440,FOR HONOR™ STANDARD EDITION,441,29.238299999999995
441,Aven Colony,442,29.238299999999995
442,Cloudpunk,443,23.388299999999997
443,Warhammer Age of Sigmar: Storm Ground,444,18.708299999999998
444,Deus Ex: Mankind Divided,445,29.238299999999995
445,Under The Jolly Roger,446,17.5383
446,Tennis World Tour,447,18.708299999999998
447,Dead by Daylight: Silent Hill Chapter PS4™ & PS5™,448,7.5933
448,Black Desert - Conqueror Item Pack,449,
449,Valkyria Chronicles 4,450,29.238299999999995
450,"Black Desert - 1,000 Pearls",451,9.3483
451,Yooka-Laylee: Buddy Duo Bundle,452,46.7883
452,Asterix & Obelix XXL3: The Crystal Menhir,453,40.9383
453,Remothered: Broken Porcelain,454,29.238299999999995
454,Rock of Ages 3: Make & Break,455,29.238299999999995
455,Submerged: Hidden Depths,456,29.238299999999995
456,Submerged: Hidden Depths,457,29.238299999999995
457,BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,458,61.9983
458,Panzer Dragoon: Remake,459,23.388299999999997
459,Eldest Souls,460,18.708299999999998
460,DiRT Rally 2.0 - Year One Pass,461,18.708299999999998
461,Resident Evil Revelations 1 & 2 Bundle,462,40.9383
462,Astria Ascending,463,40.9383
463,Mega Man 30th Anniversary Bundle,464,58.488299999999995
464,Conan Exiles - Year 2 DLC Bundle,465,29.238299999999995
465,SnowRunner - Season 6: Haul & Hustle,466,6.774299999999999
466,SnowRunner - Season 6: Haul & Hustle,467,6.774299999999999
467,Snooker 19 Gold Edition,468,40.9383
468,The Survivalists - Deluxe Edition,469,24.7923
469,The Unicorn Princess,470,18.708299999999998
470,Outer Wilds: Echoes of the Eye,471,14.0283
471,Red Dead Revolver,472,14.0283
472,The Serpent Rogue,473,18.708299999999998
473,L.A. Noire: The VR Case Files,474,29.238299999999995
474,EARTH DEFENSE FORCE: IRON RAIN,475,58.488299999999995
475,After the Fall® - Launch Edition,476,40.9383
476,Atelier Ryza 2: Lost Legends & the Secret Fairy Ultimate Edition,477,105.28829999999999
477,EARTH DEFENSE FORCE 5,478,46.7883
478,Remnant: From the Ashes - Subject 2923,479,9.3483
479,Let's Sing 2021,480,40.9383
480,Train Sim World® 2: Haupststrecke München - Augsburg,481,29.238299999999995
481,DRAGON BALL FIGHTERZ - Gogeta (SSGSS),482,4.6683
482,Dead by Daylight: Silent Hill Edition,483,46.7883
483,XIII,484,52.6383
484,Donut County,485,11.6883
485,Secret of Mana,486,38.5983
486,Raji: An Ancient Epic,487,23.388299999999997
487,Fallout 76: Brotherhood Recruitment Bundle,488,29.238299999999995
488,Ni no Kuni™ II: Revenant Kingdom - Season Pass,489,18.708299999999998
489,FAHRENHEIT,490,12.8583
490,Dead by Daylight: Portrait of a Murder Chapter,491,7.5933
491,NASCAR 21: Ignition - Champions Edition,492,86.5683
