,image_src,title,category,colection,suggested_price(€)
149,https://www.tradeinn.com/h/13871/138712468/tyr-nest-pro-swimming-goggles.jpg,tyr nest pro swimming goggles,equipment,accesories,18.99
150,https://www.tradeinn.com/h/14040/140401378/tyr-tracer-x-racing-swimming-cap.jpg,tyr tracer-x racing swimming cap,equipment,accesories,31.49
151,https://www.tradeinn.com/h/13946/139469956/huub-swimming-cap.jpg,huub swimming cap,equipment,accesories,7.99
152,https://www.tradeinn.com/h/13700/137002624/zoggs-predator-swimming-goggles.jpg,zoggs predator swimming goggles,equipment,accesories,21.99
153,https://www.tradeinn.com/h/13841/138419665/zoggs-predator-flex-titanium-reactor-swimming-goggles.jpg,zoggs predator flex titanium reactor swimming goggles,equipment,accesories,51.99
154,https://www.tradeinn.com/h/13842/138427208/adidas-logo-swimming-cap.jpg,adidas logo swimming cap,equipment,accesories,4.99
155,https://www.tradeinn.com/h/13870/138704281/aquasphere-kaiman-swimming-goggles.jpg,aquasphere kaiman swimming goggles,equipment,accesories,17.99
156,https://www.tradeinn.com/h/13794/137941284/aquasphere-kayenne-s-swimming-goggles.jpg,aquasphere kayenne s swimming goggles,equipment,accesories,28.99
157,https://www.tradeinn.com/h/13794/137941272/aquasphere-fastlane-swimming-goggles.jpg,aquasphere fastlane swimming goggles,equipment,accesories,16.49
158,https://www.tradeinn.com/h/13749/137492319/aquasphere-kaiman-exo-swimming-goggles.jpg,aquasphere kaiman exo swimming goggles,equipment,accesories,25.99
159,https://www.tradeinn.com/h/13870/138704339/aquasphere-plain-swimming-cap.jpg,aquasphere plain swimming cap,equipment,accesories,5.99
160,https://www.tradeinn.com/h/13870/138704266/aquasphere-kaiman-junior-swimming-goggles.jpg,aquasphere kaiman junior swimming goggles,equipment,accesories,22.49
161,https://www.tradeinn.com/h/13946/139469751/aquasphere-vista-xp-lenses-clear-goggles.jpg,aquasphere vista xp lenses clear goggles,equipment,accesories,19.99
162,https://www.tradeinn.com/h/13755/137557654/leisis-lycra-hq-swimming-cap.jpg,leisis lycra hq swimming cap,equipment,accesories,1.99
163,https://www.tradeinn.com/h/13799/137998451/malmsten-swedish-anti-fog-swimming-goggles.jpg,malmsten swedish anti-fog swimming goggles,equipment,accesories,11.99
164,https://www.tradeinn.com/h/13799/137998449/malmsten-swedish-anti-fog-swimming-goggles.jpg,malmsten swedish anti-fog swimming goggles,equipment,accesories,10.99
165,https://www.tradeinn.com/h/13756/137568238/softee-lycra-swimming-cap.jpg,softee lycra swimming cap,equipment,accesories,1.99
166,https://www.tradeinn.com/h/13747/137478382/phelps-ninja-swimming-goggles.jpg,phelps ninja swimming goggles,equipment,accesories,24.99
167,https://www.tradeinn.com/h/13959/139594495/speedo-spot-infant-swimming-goggles.jpg,speedo spot infant swimming goggles,equipment,accesories,11.99
168,https://www.tradeinn.com/h/13664/136640627/speedo-polyester-junior-swimming-cap.jpg,speedo polyester junior swimming cap,equipment,accesories,4.99
169,https://www.tradeinn.com/h/13959/139594419/speedo-aquapulse-pro-swimming-goggles.jpg,speedo aquapulse pro swimming goggles,equipment,accesories,28.99
170,https://www.tradeinn.com/h/13959/139594448/speedo-fastskin-speedsocket-2-swimming-goggles.jpg,speedo fastskin speedsocket 2 swimming goggles,equipment,accesories,30.99
171,https://www.tradeinn.com/h/13745/137451747/speedo-hydropure-swimming-goggles.jpg,speedo hydropure swimming goggles,equipment,accesories,13.99
172,https://www.tradeinn.com/h/13959/139594493/speedo-skoogle-infant-swimming-goggles.jpg,speedo skoogle infant swimming goggles,equipment,accesories,10.99
173,https://www.tradeinn.com/h/13664/136640319/speedo-jet-swimming-goggles-junior.jpg,speedo jet swimming goggles junior,equipment,accesories,7.99
174,https://www.tradeinn.com/h/13664/136640315/speedo-jet-swimming-goggles.jpg,speedo jet swimming goggles,equipment,accesories,8.49
175,https://www.tradeinn.com/h/13743/137435631/speedo-aquapulse-pro-mirror-swimming-goggles.jpg,speedo aquapulse pro mirror swimming goggles,equipment,accesories,28.99
176,https://www.tradeinn.com/h/13689/136892719/arena-the-one-swimming-goggles-junior.jpg,arena the one swimming goggles junior,equipment,accesories,14.99
177,https://www.tradeinn.com/h/13732/137329390/arena-airspeed-swimming-goggles.jpg,arena airspeed swimming goggles,equipment,accesories,20.99
178,https://www.tradeinn.com/h/5/57201/arena-swedix-swimming-goggles.jpg,arena swedix swimming goggles,equipment,accesories,15.99
179,https://www.tradeinn.com/h/135/1353262/arena-silicon-classic-swimming-cap.jpg,arena silicon classic swimming cap,equipment,accesories,7.49
180,https://www.tradeinn.com/h/13732/137329542/arena-the-one-swimming-goggles.jpg,arena the one swimming goggles,equipment,accesories,15.99
181,https://www.tradeinn.com/h/5/57237/arena-zoom-x-fit-swimming-goggles.jpg,arena zoom x-fit swimming goggles,equipment,accesories,9.99
182,https://www.tradeinn.com/h/13954/139548529/arena-swimming-cap.jpg,arena swimming cap,equipment,accesories,7.99
183,https://www.tradeinn.com/h/128/1285378/arena-swedix-swimming-goggles.jpg,arena swedix swimming goggles,equipment,accesories,16.0
184,https://www.tradeinn.com/h/13810/138106667/tyr-special-ops-3.0-polarized-swimming-goggles.jpg,tyr special ops 3.0 polarized swimming goggles,equipment,accesories,24.99
185,https://www.tradeinn.com/h/13810/138106458/tyr-black-hawk-racing-mirror-swimming-goggles.jpg,tyr black hawk racing mirror swimming goggles,equipment,accesories,17.99
