,title,suggested_price(€),system,image_src,age_group
85,Sherlock Purr,19.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_SherlockPurr_image500w.jpg,Under 6 Year Old
86,Captain Toad: Treasure Tracker,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_CaptainToadTreasureTracker_image500w.jpg,Under 6 Year Old
87,Harvest Moon: The Winds of Anthos,49.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_HarvestMoonTheWindsOfAnthos_image500w.jpg,Under 6 Year Old
88,Minigolf Adventure,4.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_MinigolfAdventure_image500w.jpg,Under 6 Year Old
89,Overcooked! All You Can Eat,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_OvercookedAllYouCanEat_image500w.jpg,Under 6 Year Old
90,Pokémon HOME,0.0,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/smart_device_6/SQ_SmartDevice_PokemonHOME_image500w.jpg,Under 6 Year Old
91,Cozy Grove,13.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_CozyGrove_image500w.jpg,Under 6 Year Old
92,Big Brain Academy: Knappe koppen,29.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_BigBrainAcademyBrainVsBrain_nlNL_image500w.jpg,Under 6 Year Old
93,NBA 2K24 Kobe Bryant Edition,59.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitchDS_NBA2K24KobeBryantEdition_image500w.jpg,Under 6 Year Old
94,1912: Titanic Mystery,9.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_1912TitanicMystery_image500w.jpg,Under 6 Year Old
95,Taiko no Tatsujin: Rhythm Festival,49.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_TaikoNoTutsjinRhytmnFesitval_image500w.jpg,Under 6 Year Old
96,Lofi Ping Pong,3.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_LofiPingPong_image500w.jpg,Under 6 Year Old
97,RollerCoaster Tycoon Adventures Deluxe,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_RollerCoasterTycoonAdventuresDeluxe_image500w.jpg,Under 6 Year Old
98,Ooblets,29.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_Ooblets_image500w.jpg,Under 6 Year Old
99,Super Mario Bros. 3,,Nintendo 3DS,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/virtual_console_wii_u_8/SQ_WiiUVC_SuperMarioBros3_image500w.jpg,Under 6 Year Old
100,ARK: Dinosaur Discovery,9.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_ArkDinosaurDiscovery_image500w.jpg,Under 6 Year Old
101,Boomerang Fu,14.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_BoomerangFu_image500w.jpg,Under 6 Year Old
102,SpongeBob: Krusty Cook-Off,12.49,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_SpongebobKrustyCookOff_EN_image500w.jpg,Under 6 Year Old
103,Wonder Boy: The Dragon's Trap,19.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_WonderBoyTheDragonsTrap_image500w.jpg,Under 6 Year Old
104,Monopoly for Nintendo Switch,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_MonopolyForNintendoSwitch_enGB_image500w.jpg,Under 6 Year Old
105,A Highland Song,15.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_AHighlandSong_image500w.jpg,Under 6 Year Old
106,Unpacking,19.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Unpacking_image500w.jpg,Under 6 Year Old
107,Only Way Up! Parkour Jump Simulator,4.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_OnlyWayUpParkourJumpSimulator_image500w.jpg,Under 6 Year Old
108,CATAN® - Console Edition,19.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_CatanConsoleEdition_image500w.jpg,Under 6 Year Old
109,Fitness Circuit,49.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_FitnessCircuit_image500w.jpg,Under 6 Year Old
110,Florence,5.49,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Florence_image500w.jpg,Under 6 Year Old
111,Tetris® Effect: Connected,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_TetrisEffectConnected_image500w.jpg,Under 6 Year Old
112,PAC-MAN 99,0.0,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_PacMan99_image500w.jpg,Under 6 Year Old
113,Under Leaves,12.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_UnderLeaves_image500w.jpg,Under 6 Year Old
114,RAINBOW HIGH™: RUNWAY RUSH,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_RainbowHighRunawayRush_GBen_image500w.jpg,Under 6 Year Old
115,ATOMIK: RunGunJumpGun,7.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_AtomikRunGunJumpGun_image500w.jpg,Under 6 Year Old
116,Snipperclips – Geknipt om samen te spelen!,19.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Snipperclips_nlNL_image500w.jpg,Under 6 Year Old
117,Village Tycoon: Farm City Simulator,9.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_VillageTycoonFarmCitySimulator_image500w.jpg,Under 6 Year Old
118,Monster Truck Championship,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_MonsterTruckChampionship_image500w.jpg,Under 6 Year Old
119,STORY OF SEASONS: A Wonderful Life,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_StoryOfSeasonsAWonderfulLife_image500w.jpg,Under 6 Year Old
