,title,age,suggested_price(€),image_src,age_group
115,Bakey with Cakey Fun,4.0,9.99,https://www.lego.com/cdn/cs/set/assets/blte20079291cfdca26/10785.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
116,Batman™ versus Harley Quinn™,4.0,14.99,https://www.lego.com/cdn/cs/set/assets/blt9de6389ba9a98b99/76220.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
117,Ice Cream Truck Police Chase,5.0,29.99,https://www.lego.com/cdn/cs/set/assets/blt3e962866d2b0b82d/60314.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
118,Jasmine and Mulan’s Adventure,5.0,,https://www.lego.com/cdn/cs/set/assets/blt0d81f5059232ef86/43208_.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
119,3in1 Magical Castle,3.0,99.99,https://www.lego.com/cdn/cs/set/assets/blt91803d075e193ca8/10998.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
120,Cement Mixer Truck,4.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt6c354c66c62864ac/60325.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
121,Cargo Train,2.0,129.99,https://www.lego.com/cdn/cs/set/assets/blte6cc64051096b594/10875.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
122,Road Plates,5.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt46e248e8f0fcec94/60304.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
123,The Little Mermaid Story Book,5.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt09c5a61f5ce3e4d2/43213.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
124,Gray Baseplate,4.0,14.99,https://www.lego.com/cdn/cs/set/assets/blt3baed37200b0845a/11024.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
125,Space Mission,5.0,79.99,https://www.lego.com/cdn/cs/set/assets/blta4d62ca8c0a5fb01/11022.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
