,category,Image,Title,author,Price
492,Technology,https://blackwells.co.uk//jacket/200x200/9781498703963.jpg,The TWI Workbook,"Patrick Graupp, Robe...",65.98
493,Technology,https://blackwells.co.uk//jacket/200x200/9781839168147.jpg,Food,T. P. Coultate,50.59
494,Technology,https://blackwells.co.uk//jacket/200x200/9781119256809.jpg,Construction Management,"Daniel W. Halpin, Gu...",104.85
495,Teen and YA,https://blackwells.co.uk//jacket/200x200/9781869890582.jpg,"Muddles, Puddles and Sunshine","Diana Crossley, Kate...",16.93
496,Teen and YA,https://blackwells.co.uk//jacket/200x200/9781913074654.jpg,Being Me,"Liz Brownlee, Matt G...",13.53
497,Teen and YA,https://blackwells.co.uk//jacket/200x200/9780593119877.jpg,Hot Cocoa Calm,Kira Willey (author)...,12.77
498,Teen and YA,https://blackwells.co.uk//jacket/200x200/9780241543290.jpg,Diwali,Aditi Kakade Beaufra...,11.39
499,Teen and YA,https://blackwells.co.uk//jacket/200x200/9781953424457.jpg,Growing Up Powerful,Nona Willis Aronowit...,18.82
500,Teen and YA,https://blackwells.co.uk//jacket/200x200/9780316494670.jpg,The Canyon's Edge,Dusti Bowling,11.39
501,Teen and YA,https://blackwells.co.uk//jacket/200x200/9781474989640.jpg,Tales of Brave and Brilliant Gi...,Susanna Davidson (au...,10.7
502,Teen and YA,https://blackwells.co.uk//jacket/200x200/9798985955224.jpg,The Godhead Complex,James Dashner,22.47
503,Teen and YA,https://blackwells.co.uk//jacket/200x200/9780141369792.jpg,Arsenic for Tea,Robin Stevens,12.05
504,Teen and YA,https://blackwells.co.uk//jacket/200x200/9780141369693.jpg,Jolly Foul Play,Robin Stevens,12.05
505,Teen and YA,https://blackwells.co.uk//jacket/200x200/9780062857415.jpg,A Warrior's Spirit,Erin Hunter (author)...,11.49
506,Teen and YA,https://blackwells.co.uk//jacket/200x200/9781844147205.jpg,Jolly Phonics Pupil Book 2,"Sara Wernham, Sue Ll...",10.42
