name,platforms,original_price,discounted_price,discount,product_type,rank_in_sale,sale_name,date_recorded
FINAL FANTASY VII REMAKE INTERGRADE,['PS5'],£69.97,£39.88,-43%,GAME_BUNDLE,147,WM_EU_DEALS,2022-07-22 00:00:00+00:00
NieR Replicant ver.1.22474487139…,['PS4'],£49.99,£24.99,-50%,FULL_GAME,148,WM_EU_DEALS,2022-07-22 00:00:00+00:00
WRC 10 - Deluxe Edition PS4 & PS5,"['PS4', 'PS5']",£64.99,£22.74,-65%,PREMIUM_EDITION,149,WM_EU_DEALS,2022-07-22 00:00:00+00:00
STRANGER OF PARADISE FINAL FANTASY ORIGIN PS4 & PS5,"['PS4', 'PS5']",£59.99,£41.99,-30%,FULL_GAME,150,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Canis Canem Edit,['PS4'],£11.99,£7.19,-40%,FULL_GAME,151,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Lawn Mowing Simulator PS4 & PS5,"['PS4', 'PS5']",£15.99,£11.99,-25%,FULL_GAME,152,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Dragon's Dogma: Dark Arisen,['PS4'],£19.99,£3.99,-80%,FULL_GAME,153,WM_EU_DEALS,2022-07-22 00:00:00+00:00
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,['PS4'],£84.99,£33.99,-60%,GAME_BUNDLE,154,WM_EU_DEALS,2022-07-22 00:00:00+00:00
CODE VEIN,['PS4'],£49.99,£10.49,-79%,FULL_GAME,155,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Battlefield™ V,['PS4'],£34.99,£8.74,-75%,FULL_GAME,156,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Far Cry® 6 Season Pass,"['PS4', 'PS5']",£32.99,£16.49,-50%,SEASON_PASS,157,WM_EU_DEALS,2022-07-22 00:00:00+00:00
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,['PS4'],£59.99,£23.99,-60%,GAME_BUNDLE,158,WM_EU_DEALS,2022-07-22 00:00:00+00:00
The Nioh Collection,"['PS4', 'PS5']",£69.99,£43.39,-38%,GAME_BUNDLE,159,WM_EU_DEALS,2022-07-22 00:00:00+00:00
TEKKEN 7 - Originals Edition,['PS4'],£74.99,£11.24,-85%,GAME_BUNDLE,160,WM_EU_DEALS,2022-07-22 00:00:00+00:00
ONE PIECE World Seeker Deluxe Edition,['PS4'],£77.99,£11.69,-85%,BUNDLE,161,WM_EU_DEALS,2022-07-22 00:00:00+00:00
UNO®,['PS4'],£7.99,£3.19,-60%,FULL_GAME,162,WM_EU_DEALS,2022-07-22 00:00:00+00:00
NARUTO TO BORUTO: SHINOBI STRIKER Season Pass 3,['PS4'],£11.99,£5.99,-50%,CHARACTER,163,WM_EU_DEALS,2022-07-22 00:00:00+00:00
